Software Number,SW Description,Format
D44207,SW CD MSDN 6.0 W32 German #1,EXE
D44208,SW CD MSDN 6.0 W32 German #2,EXE
D44241,SW CD MSDN Library W32 French #1,EXE
D44242,SW CD MSDN Library W32 French #2,EXE
X03-82906,SW CD MSDN Library Japanese #1,EXE
X03-82908,SW CD MSDN Library Japanese #2,EXE
X03-86022,SW CD MSDN Library 98 English #1 CNL DEV 98 (A),EXE
X03-86026,SW CD MSDN Library 98 English #2 CNL DEV 98 (A),EXE
X05-64571,SW CD Interix 2.2 WINNT English #1 MLF,EXE
X08-33965,SW CD Outlook 2001 MAC EN FR DE JA #1 EXCH,ISO
X08-52589,SW CD Windows XP Professional XT ZH FR DE JA KO #2,EXE
X08-52593,SW CD Windows XP Professional AR XC NL IW IT ES SV #3,EXE
X08-59351,SW CD Windows XP Professional #4 CS DA FI NO RU,EXE
X08-59352,SW CD Windows XP Professional #5 EL HU PL PT TR,EXE
X08-64879,SW CD Windows XP Professional #6 BS,EXE
X09-17429,SW CD VStudio.NET Ent Architect 2003 W32 English VSS 6.0d Sel,EXE
X09-17432,SW CD VStudio.NET Ent Architect 2003 W32 French VSS 6.0d Sel,EXE
X09-17433,SW CD VStudio.NET Ent Architect 2003 W32 German VSS 6.0d Sel,EXE
X09-17435,SW CD VStudio.NET Ent Architect 2003 W32 Japanese VSS 6.0d MLF,EXE
X09-47285,SW CD Windows Svr Ent 2003 WINNT English MultiLang #1 DE JA XT ZH KO MLF,EXE
X09-47287,SW CD Windows Svr Ent 2003 WINNT English MultiLang #2 A9 SV NL PT MLF,EXE
X09-47288,SW CD Windows Svr Ent 2003 WINNT English MultiLang #3 AQ CS HU PT TR MLF,EXE
X09-47289,SW CD Windows Svr Ent 2003 WINNT English MultiLang #4 GZ EL FI DA NO MLF,EXE
X09-47343,SW CD Windows Svr Web 2003 WINNT English VL Key MLF,EXE
X09-47417,SW CD Windows Svr Ent 2003 WINNT English Diagnostic Tls MLF,EXE
X09-50597,SW CD NTRL Outlook 2003 W32 English #1 PA BP,EXE
X09-51927,SW CD NTRL Access 2003 W32 English #1 PA BP,EXE
X09-53861,SW CD NTRL Outlook 2003 W32 ChnTrad Hong Kong #1 PA BP,EXE
X09-53862,SW CD NTRL Outlook 2003 W32 ChnSimp #1 PA BP,EXE
X09-53864,SW CD NTRL Outlook 2003 W32 Norwegian #1 PA BP,EXE
X09-53866,SW CD NTRL Outlook 2003 W32 Swedish #1 PA BP,EXE
